county,yearG3,sex,raceCode,CAUSE,Ndeaths,Level,pop,rateSE,aRate,LCI,UCI,aSE,bestRate,bestSE,lowRace,rateRatio,Ztest,pValue,pMark
Alameda,2016-2018,Total,Hisp,B10,32,lev2,1159220,0.487986,4.36578,2.93328,6.36826,0.80478,2.96876,0.444351,Asian-NH,1.5,1.5196507132314132,0.0642993924667592,No Difference
Alameda,2016-2018,Total,Hisp,B12,44,lev2,1159220,0.572215,7.43162,5.35171,10.1173,1.14935,3.69216,0.50199800000000006,Asian-NH,2,2.981559682946772,0.0014339207054377967,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,B15,26,lev2,1159220,0.439865,3.32386,2.09352,5.13318,0.701834,2.74933,0.430083,Asian-NH,1.2,0.69798242572193,0.2425940923808554,No Difference
Alameda,2016-2018,Total,Hisp,B16,55,lev2,1159220,0.639756,7.85325,5.8241,10.4525,1.11343,6.24416,0.647647,Asian-NH,1.3,1.2492072606199816,0.10579463853759918,No Difference
Alameda,2016-2018,Total,Hisp,B17,34,lev2,1159220,0.503005,4.60039,3.08877,6.69438,0.849365,3.96683,0.540811,Asian-NH,1.2,0.6292029305114204,0.2646081052814302,No Difference
Alameda,2016-2018,Total,Hisp,B99,102,lev2,1159220,0.87123,15.3882,12.4034,18.947,1.60528,11.7895,0.895838,Asian-NH,1.3,1.9575941426617893,0.025138827608181313,No Difference
Alameda,2016-2018,Total,Hisp,C01,106,lev2,1159220,0.888149,16.7837,13.6195,20.5288,1.69902,16.501,1.06577,Asian-NH,1,0.1409535153061903,0.44395333251086266,No Difference
Alameda,2016-2018,Total,Hisp,C02,321,lev2,1159220,1.54556,51.3243,45.6791,57.5361,2.96382,38.1169,1.61189,Asian-NH,1.3,3.914714180347499,4.525568119639889e-5,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,C03,207,lev2,1159220,1.24113,34.593,29.8894,39.8808,2.48733,31.7687,1.47567,Asian-NH,1.1,0.9765468993420445,0.16439675930899167,No Difference
Alameda,2016-2018,Total,Hisp,C04,39,lev2,1159220,0.538722,4.74677,3.30183,6.73968,0.805101,2.99938,0.45265,Asian-NH,1.6,1.8918864067673364,0.02925305864495309,No Difference
Alameda,2016-2018,Total,Hisp,C05,55,lev2,1159220,0.639756,8.97303,6.69361,11.8475,1.249,7.16034,0.692455,Asian-NH,1.3,1.2692939914294705,0.10216811429050332,No Difference
Alameda,2016-2018,Total,Hisp,C99,174,lev2,1159220,1.13791,26.1556,22.2387,30.6352,2.07943,18.9831,1.14789,Asian-NH,1.4,3.0197174608146993,0.001265052945067846,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,D01,101,lev2,1159220,0.866949,15.301,12.3497,18.8213,1.58674,7.24243,0.693195,Asian-NH,2.1,4.653964971494687,1.6280607135765734e-6,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,D02,53,lev2,1159220,0.628016,8.12536,5.97487,10.8698,1.18242,5.63248,0.627098,Asian-NH,1.4,1.8625539072139012,0.03126252719875111,No Difference
Alameda,2016-2018,Total,Hisp,D04,30,lev2,1159220,0.472491,3.04506,2.03372,4.57451,0.568973,3.04506,0.568973,Hisp,1,0,0.5,Lowest
Alameda,2016-2018,Total,Hisp,D05,296,lev2,1159220,1.48415,52.8006,46.8905,59.298,3.10454,37.199,1.59167,Asian-NH,1.4,4.471936462535754,3.875723025625888e-6,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,D06,70,lev2,1159220,0.721742,11.1314,8.55604,14.302,1.40102,8.98443,0.7934,Asian-NH,1.2,1.3334598542630045,0.09119047076896725,No Difference
Alameda,2016-2018,Total,Hisp,D09,57,lev2,1159220,0.651284,9.0166,6.74288,11.8819,1.24514,6.17106,0.647989,Asian-NH,1.5,2.0272278035825577,0.02131956048797834,No Difference
Alameda,2016-2018,Total,Hisp,D10,134,lev2,1159220,0.998585,20.9925,17.4357,25.1267,1.89909,10.632,0.66565,White-NH,2,5.14840727135085,1.313538006142423e-7,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,D11,163,lev2,1159220,1.10135,20.5378,17.3363,24.2619,1.70266,4.47959,0.553078,Asian-NH,4.6,8.969882438764772,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,D12,30,lev2,1159220,0.472491,2.72162,1.79542,4.16273,0.522601,1.69366,0.346873,White-NH,1.6,1.6388567653330925,0.05062154686406106,No Difference
Alameda,2016-2018,Total,Hisp,D66,79,lev2,1159220,0.766737,13.9351,10.9746,17.5006,1.60111,8.74819,0.785375,Asian-NH,1.6,2.908506808855614,0.0018157963413262257,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,D68,91,lev2,1159220,0.822912,15.3286,12.2511,19.0018,1.65854,12.6537,0.940931,Asian-NH,1.2,1.402779073199092,0.08034136459975505,No Difference
Alameda,2016-2018,Total,Hisp,D99,75,lev2,1159220,0.747074,11.9263,9.26685,15.1768,1.44302,7.6277,0.710965,Asian-NH,1.6,2.6721665930279506,0.003768161183156704,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,E01,213,lev2,1159220,1.25899,20.6337,17.7468,23.9939,1.52834,13.2607,0.974805,Asian-NH,1.6,4.067297731701579,2.3780730133537986e-5,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,E02,59,lev2,1159220,0.662611,5.85989,4.36903,7.85529,0.817017,5.74375,0.639478,Asian-NH,1,0.11193995150121448,0.4554355094697071,No Difference
Alameda,2016-2018,Total,Hisp,E03,65,lev2,1159220,0.695488,4.9977,3.83834,6.61549,0.630836,1.7778,0.346626,White-NH,2.8,4.47336217470869,3.8499597737606805e-6,Sig. Higher (p<.01)
Alameda,2016-2018,Total,NHPI-NH,C02,37,lev2,40299.7,15.0938,137.618,93.9423,196.25,24.4444,38.1169,1.61189,Asian-NH,3.6,4.061685962055447,2.435979327108928e-5,Sig. Higher (p<.01)
Alameda,2016-2018,Total,White-NH,A06,33,lev2,1584270,0.362599,1.218,0.824881,1.84387,0.220436,1.218,0.220436,White-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,White-NH,A07,333,lev2,1584270,1.15184,13.2213,11.8127,14.8288,0.738837,10.7314,0.860745,Asian-NH,1.2,2.1949911839565868,0.014082115074586898,No Difference
Alameda,2016-2018,Total,White-NH,A09,21,lev2,1584270,0.289254,1.90965,1.18211,2.94105,0.41672,1.90965,0.41672,White-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,White-NH,A99,258,lev2,1584270,1.01386,10.1891,8.9569,11.6225,0.648879,6.28369,0.666202,Asian-NH,1.6,4.199440701693278,1.3378754522785918e-5,Sig. Higher (p<.01)
Alameda,2016-2018,Total,White-NH,B01,60,lev2,1584270,0.488929,2.20376,1.67139,2.95347,0.290553,2.20376,0.290553,White-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,White-NH,B02,82,lev2,1584270,0.57158,3.29982,2.60107,4.2162,0.37783,1.54207,0.318691,Asian-NH,2.1,3.556133649216799,1.881763368599687e-4,Sig. Higher (p<.01)
Alameda,2016-2018,Total,White-NH,B03,61,lev2,1584270,0.492986,2.59602,1.95886,3.45992,0.34817,2.59602,0.34817,White-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,White-NH,B04,270,lev2,1584270,1.03717,11.1002,9.77943,12.6253,0.695165,9.84257,0.810699,Asian-NH,1.1,1.1776267771871285,0.11947271494027578,No Difference
Alameda,2016-2018,Total,White-NH,B05,149,lev2,1584270,0.770483,5.86055,4.93203,6.99647,0.494175,5.86055,0.494175,White-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,White-NH,B06,249,lev2,1584270,0.996023,9.91947,8.69025,11.3518,0.647848,7.333,0.703658,Asian-NH,1.4,2.704173111986129,0.003423730279511039,Sig. Higher (p<.01)
Alameda,2016-2018,Total,White-NH,B07,623,lev2,1584270,1.57548,24.953,22.9824,27.1199,1.02596,16.3011,1.72737,Hisp,1.5,4.306399699810252,8.296655760964278e-6,Sig. Higher (p<.01)
Alameda,2016-2018,Total,White-NH,B08,100,lev2,1584270,0.631204,3.9999,3.22941,4.98462,0.414212,3.9999,0.414212,White-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,White-NH,B09,235,lev2,1584270,0.967618,9.6592,8.418,11.1073,0.655002,6.39051,0.644424,Asian-NH,1.5,3.5573188243647698,1.8732966558621111e-4,Sig. Higher (p<.01)
Alameda,2016-2018,Total,White-NH,B10,85,lev2,1584270,0.581941,3.5194,2.79015,4.46654,0.393772,2.96876,0.444351,Asian-NH,1.2,0.9274395435489851,0.17684918371255476,No Difference
Alameda,2016-2018,Total,White-NH,B11,105,lev2,1584270,0.646792,4.18265,3.40094,5.17669,0.419524,2.87479,0.434535,Asian-NH,1.5,2.165316130770542,0.01518174194310229,No Difference
Alameda,2016-2018,Total,White-NH,B12,200,lev2,1584270,0.892657,7.77737,6.71619,9.04096,0.561253,3.69216,0.50199800000000006,Asian-NH,2.1,5.425255625237861,2.8935828733089863e-8,Sig. Higher (p<.01)
Alameda,2016-2018,Total,White-NH,B13,73,lev2,1584270,0.539301,2.8788,2.24183,3.73283,0.345437,1.97049,0.358116,Asian-NH,1.5,1.825499686140278,0.03396282925374672,No Difference
Alameda,2016-2018,Total,White-NH,B14,100,lev2,1584270,0.631204,3.91026,3.16687,4.86491,0.399345,1.95937,0.373028,Asian-NH,2,3.570004330872111,1.7848766295247565e-4,Sig. Higher (p<.01)
